Outcome_Description
"[('latin', 0.3713), ('basic', 0.3335), ('syntax', 0.3322), ('translating', 0.3228), ('syntactic', 0.3198)]"
"[('latin', 0.3871), ('skill', 0.3522), ('translating', 0.3446), ('syntactic', 0.3399), ('language', 0.3372)]"
"[('translating', 0.4052), ('latin', 0.3677), ('skill', 0.3443), ('translation', 0.3408), ('develop', 0.3285)]"
"[('literature', 0.4442), ('latin', 0.4404), ('medieval', 0.3304), ('text', 0.2851), ('studied', 0.2843)]"
"[('basic', 0.3754), ('beginner', 0.3697), ('language', 0.331), ('syntactic', 0.3159), ('greek', 0.3064)]"
"[('translating', 0.3971), ('syntactic', 0.3898), ('language', 0.38), ('greek', 0.3584), ('expertise', 0.3193)]"
"[('greek', 0.3762), ('dialogue', 0.3748), ('prose', 0.3635), ('study', 0.3516), ('linguistic', 0.3444)]"
"[('greek', 0.5495), ('literature', 0.4343), ('poetry', 0.3918), ('pastoral', 0.3472), ('theocritus', 0.3313)]"
"[('greek', 0.3943), ('study', 0.3123), ('textual', 0.2958), ('archaeological', 0.2956), ('ancient', 0.2945)]"
"[('rome', 0.4225), ('roman', 0.3538), ('history', 0.3056), ('topic', 0.2961), ('augustus', 0.2856)]"
"[('academic', 0.4382), ('student', 0.4173), ('study', 0.3864), ('transitioning', 0.3741), ('pedagogical', 0.3732)]"
"[('literature', 0.442), ('prose', 0.4289), ('literary', 0.3769), ('latin', 0.3343), ('translating', 0.3288)]"
"[('literature', 0.4153), ('prose', 0.3923), ('translating', 0.3382), ('study', 0.3348), ('latin', 0.3308)]"
"[('literature', 0.3759), ('prose', 0.3731), ('latin', 0.3523), ('translating', 0.3229), ('literary', 0.2916)]"
"[('prose', 0.4116), ('literary', 0.3311), ('latin', 0.3302), ('translating', 0.33), ('study', 0.329)]"
"[('greek', 0.4145), ('literature', 0.3532), ('prose', 0.3415), ('writing', 0.3284), ('literary', 0.3062)]"
"[('greek', 0.3861), ('poetry', 0.3842), ('literary', 0.3693), ('iliad', 0.3396), ('linguistic', 0.2874)]"
"[('greek', 0.4142), ('literature', 0.3531), ('prose', 0.3405), ('writing', 0.3286), ('literary', 0.3059)]"
"[('greek', 0.3853), ('poetry', 0.3833), ('literary', 0.3674), ('iliad', 0.3378), ('linguistic', 0.2864)]"
"[('antiquity', 0.3828), ('archaeology', 0.3354), ('archaeological', 0.3247), ('rome', 0.3127), ('analyse', 0.3096)]"
"[('archaeological', 0.4078), ('civilisation', 0.4066), ('mediterranean', 0.348), ('antiquity', 0.3408), ('analyse', 0.3207)]"
"[('poet', 0.558), ('poetry', 0.514), ('greek', 0.4547), ('poem', 0.4487), ('philosopher', 0.4333)]"
"[('literature', 0.4637), ('cicero', 0.4315), ('literary', 0.3727), ('rome', 0.3645), ('culture', 0.3471)]"
"[('pedagogy', 0.4348), ('teaching', 0.4147), ('academic', 0.3919), ('student', 0.3841), ('programme', 0.3506)]"
"[('latin', 0.3411), ('writing', 0.3203), ('analyse', 0.3121), ('didactic', 0.3105), ('text', 0.2901)]"
"[('satirical', 0.3728), ('satire', 0.337), ('satirist', 0.2316), ('research', 0.2159), ('reading', 0.2064)]"
"[('literature', 0.4425), ('writing', 0.3841), ('prose', 0.3834), ('constantinian', 0.355), ('literary', 0.3315)]"
"[('literature', 0.5311), ('poetry', 0.4414), ('literary', 0.436), ('poetics', 0.3849), ('poetica', 0.3747)]"
"[('literature', 0.3811), ('latin', 0.3483), ('literary', 0.3075), ('linguistic', 0.2747), ('scholarship', 0.2643)]"
"[('study', 0.3979), ('philology', 0.3683), ('student', 0.3448), ('scholarly', 0.3439), ('literature', 0.3388)]"
"[('educator', 0.379), ('education', 0.3669), ('greek', 0.3433), ('athenian', 0.3323), ('teaching', 0.3065)]"
"[('greek', 0.4659), ('antiquity', 0.3506), ('linguistic', 0.3201), ('linguistically', 0.2942), ('ancient', 0.2849)]"
"[('literature', 0.4319), ('literary', 0.3381), ('greek', 0.3144), ('worship', 0.3079), ('genre', 0.3054)]"
"[('greek', 0.3776), ('literary', 0.3651), ('antiquity', 0.3648), ('poet', 0.3462), ('homeric', 0.3037)]"
"[('textual', 0.4317), ('antiquity', 0.3505), ('literary', 0.3489), ('prose', 0.3226), ('greek', 0.3129)]"
"[('literature', 0.42), ('greek', 0.3861), ('essay', 0.3631), ('prose', 0.3422), ('literary', 0.3359)]"
"[('literary', 0.3574), ('greek', 0.3545), ('poetry', 0.3538), ('essay', 0.3348), ('prose', 0.3109)]"
"[('prose', 0.3832), ('latin', 0.3601), ('literary', 0.3455), ('translating', 0.3338), ('assessment', 0.3322)]"
"[('prose', 0.3883), ('latin', 0.3727), ('translating', 0.3413), ('literary', 0.3292), ('assessment', 0.3191)]"
"[('archaeology', 0.4078), ('archaeological', 0.3808), ('excavation', 0.328), ('study', 0.314), ('acropolis', 0.288)]"
"[('roman', 0.3207), ('archaeology', 0.2953), ('archaeological', 0.2936), ('historian', 0.2869), ('military', 0.2816)]"
"[('carthaginian', 0.41), ('phoenician', 0.4047), ('archaeology', 0.4033), ('archaeological', 0.388), ('punic', 0.3796)]"
"[('greek', 0.4606), ('athenian', 0.4126), ('greece', 0.4064), ('athens', 0.3964), ('sparta', 0.3792)]"
"[('study', 0.3708), ('environment', 0.3668), ('environmental', 0.3491), ('topic', 0.3443), ('studying', 0.3377)]"
"[('slavery', 0.5021), ('slave', 0.4756), ('roman', 0.3422), ('culture', 0.3149), ('literature', 0.302)]"
"[('poverty', 0.5286), ('social', 0.3625), ('society', 0.3371), ('antiquity', 0.3296), ('charity', 0.3084)]"
"[('magician', 0.3974), ('antiquity', 0.3464), ('spell', 0.3245), ('magic', 0.3206), ('voodoo', 0.2891)]"
"[('herodotus', 0.3633), ('historian', 0.3542), ('antiquity', 0.3488), ('greek', 0.3404), ('athenian', 0.2878)]"
"[('iliad', 0.4319), ('poet', 0.3232), ('homeric', 0.3162), ('poem', 0.2864), ('homer', 0.2858)]"
"[('greek', 0.4327), ('roman', 0.3731), ('greece', 0.3449), ('culture', 0.3172), ('ancient', 0.3168)]"
"[('animal', 0.3577), ('antiquity', 0.3498), ('examines', 0.3045), ('study', 0.3032), ('pet', 0.2947)]"
"[('literary', 0.4763), ('poetry', 0.4344), ('renaissance', 0.3621), ('reading', 0.3367), ('text', 0.3311)]"
"[('leftist', 0.4292), ('ideologically', 0.387), ('ideology', 0.375), ('cultural', 0.3484), ('interdisciplinary', 0.3357)]"
"[('educator', 0.379), ('education', 0.3669), ('greek', 0.3433), ('athenian', 0.3323), ('teaching', 0.3065)]"
"[('greek', 0.4659), ('antiquity', 0.3506), ('linguistic', 0.3201), ('linguistically', 0.2942), ('ancient', 0.2849)]"
"[('literature', 0.4319), ('literary', 0.3381), ('greek', 0.3144), ('worship', 0.3079), ('genre', 0.3054)]"
"[('greek', 0.3776), ('literary', 0.3651), ('antiquity', 0.3648), ('poet', 0.3462), ('homeric', 0.3037)]"
"[('textual', 0.4317), ('antiquity', 0.3505), ('literary', 0.3489), ('prose', 0.3226), ('greek', 0.3129)]"
"[('latin', 0.3411), ('writing', 0.3203), ('analyse', 0.3121), ('didactic', 0.3105), ('text', 0.2901)]"
"[('satirical', 0.3728), ('satire', 0.337), ('satirist', 0.2316), ('research', 0.2159), ('reading', 0.2064)]"
"[('literature', 0.4425), ('writing', 0.3841), ('prose', 0.3834), ('constantinian', 0.355), ('literary', 0.3315)]"
"[('literature', 0.5311), ('poetry', 0.4414), ('literary', 0.436), ('poetics', 0.3849), ('poetica', 0.3747)]"
"[('literature', 0.3811), ('latin', 0.3483), ('literary', 0.3075), ('linguistic', 0.2747), ('scholarship', 0.2643)]"
"[('archaeological', 0.4892), ('archaeology', 0.4794), ('excavation', 0.3941), ('methodology', 0.3452), ('seminar', 0.3437)]"
"[('historian', 0.4164), ('study', 0.378), ('analyse', 0.3413), ('methodology', 0.3215), ('research', 0.3209)]"
"[('archaeology', 0.4078), ('archaeological', 0.3808), ('excavation', 0.328), ('study', 0.314), ('acropolis', 0.288)]"
"[('roman', 0.3207), ('archaeology', 0.2953), ('archaeological', 0.2936), ('historian', 0.2869), ('military', 0.2816)]"
"[('carthaginian', 0.41), ('phoenician', 0.4047), ('archaeology', 0.4033), ('archaeological', 0.388), ('punic', 0.3796)]"
